ShipId,ShipName,Latitude,Longnitude,Cog,Sog,RateOfTurn,TrueHeading,Timestamp
235108878,WINDCAT 37          ,57.216545,-1.985615,342.5,0,0,221,2023-01-24 11:06:08.738392082 +0000 UTC
235108878,WINDCAT 37          ,57.216545,-1.98560666666667,313.5,0,0,222,2023-01-24 11:07:09.520544507 +0000 UTC
235108878,WINDCAT 37          ,57.216535,-1.98558166666667,109.4,0,0,223,2023-01-24 11:08:09.523287093 +0000 UTC
235108878,WINDCAT 37          ,57.2165383333333,-1.98558333333333,299.9,0,0,226,2023-01-24 11:09:09.692807826 +0000 UTC
235108878,WINDCAT 37          ,57.2165316666667,-1.98555833333333,63.1,0,0,228,2023-01-24 11:10:09.525514911 +0000 UTC
235108878,WINDCAT 37          ,57.2165333333333,-1.98555333333333,67,0,0,227,2023-01-24 11:11:09.919046647 +0000 UTC
235108878,WINDCAT 37          ,57.216535,-1.98554,340,0,0,228,2023-01-24 11:12:09.902808102 +0000 UTC
235108878,WINDCAT 37          ,57.2165266666667,-1.98552833333333,69,0,0,229,2023-01-24 11:13:09.966039541 +0000 UTC
235108878,WINDCAT 37          ,57.216525,-1.985525,338.5,0,0,231,2023-01-24 11:14:10.137163141 +0000 UTC
235108878,WINDCAT 37          ,57.21652,-1.98549166666667,21.7,0,0,229,2023-01-24 11:15:28.206150761 +0000 UTC
235108878,WINDCAT 37          ,57.21651,-1.98548,131.6,0,0,231,2023-01-24 11:16:29.007442492 +0000 UTC
235108878,WINDCAT 37          ,57.2164983333333,-1.98545,117.4,0.1,0,236,2023-01-24 11:17:28.588630701 +0000 UTC
235108878,WINDCAT 37          ,57.216485,-1.985425,123.3,0,0,236,2023-01-24 11:18:28.542286254 +0000 UTC
235108878,WINDCAT 37          ,57.2164866666667,-1.9854,34.3,0,0,234,2023-01-24 11:19:28.572839744 +0000 UTC
235108878,WINDCAT 37          ,57.2164733333333,-1.98539166666667,304.1,0,0,237,2023-01-24 11:20:28.545614512 +0000 UTC
235108878,WINDCAT 37          ,57.2164666666667,-1.98537166666667,86.2,0,0,236,2023-01-24 11:21:30.172787541 +0000 UTC
235108878,WINDCAT 37          ,57.216465,-1.98535,143.8,0,0,234,2023-01-24 11:22:30.111965538 +0000 UTC
235108878,WINDCAT 37          ,57.2164566666667,-1.98533333333333,138.9,0,0,238,2023-01-24 11:23:30.131105909 +0000 UTC
235108878,WINDCAT 37          ,57.2164333333333,-1.98529166666667,136.3,0,0,238,2023-01-24 11:24:49.40717898 +0000 UTC
235108878,WINDCAT 37          ,57.21642,-1.98526833333333,116.1,0,127,244,2023-01-24 11:25:49.381016544 +0000 UTC
235108878,WINDCAT 37          ,57.2164,-1.985245,175.8,0,0,246,2023-01-24 11:26:49.391596611 +0000 UTC
235108878,WINDCAT 37          ,57.21637,-1.98522,161.7,0,0,249,2023-01-24 11:27:49.354976988 +0000 UTC
235108878,WINDCAT 37          ,57.21632,-1.98522333333333,196,0.1,0,253,2023-01-24 11:28:49.456295203 +0000 UTC
235108878,WINDCAT 37          ,57.2162616666667,-1.985225,187.4,0.1,0,255,2023-01-24 11:29:59.507978908 +0000 UTC
235108878,WINDCAT 37          ,57.2161983333333,-1.985205,170.9,0.1,0,261,2023-01-24 11:30:59.241544773 +0000 UTC
235108878,WINDCAT 37          ,57.2161316666667,-1.98518333333333,163.1,0.2,0,257,2023-01-24 11:31:59.566201884 +0000 UTC
235108878,WINDCAT 37          ,57.216065,-1.98515,161.2,0.2,0,261,2023-01-24 11:32:59.578201276 +0000 UTC
235108878,WINDCAT 37          ,57.2159883333333,-1.98511333333333,158.2,0.2,0,255,2023-01-24 11:33:59.221728329 +0000 UTC
235108878,WINDCAT 37          ,57.215895,-1.98512333333333,208.1,0.2,0,261,2023-01-24 11:35:08.637837356 +0000 UTC
235108878,WINDCAT 37          ,57.2158083333333,-1.98523166666667,218.2,0.3,0,266,2023-01-24 11:36:08.686670481 +0000 UTC
235108878,WINDCAT 37          ,57.2157333333333,-1.98542166666667,247.2,0.4,127,275,2023-01-24 11:37:08.409075103 +0000 UTC
235108878,WINDCAT 37          ,57.2156816666667,-1.98563833333333,255.3,0.4,127,292,2023-01-24 11:38:08.455981833 +0000 UTC
